"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6735223238278","52.122676439473","70.8566754068311","69.8533628475625","74.2502819452851","72.7811814291849","74.0110211715679","73.0349228674322","73.6655686958442","67.9378979553501","71.6352157838531","80.1317584293526","86.9686447404041","99.4767705962397","107.811108208084","99.3364400988851","100","99.1276822793504","94.3519793526904","96.0227329825202","100.120424570254","103.111263885195","102.489824452466","100.199994136036","100.474823526686","103.016171153868","",
"American Samoa","ASM","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","128.01869854199","132.345489229982","145.113484690541","149.895627067407","154.175365793172","162.38417027376","160.808975493856","141.435065094166","131.950362791454","132.862348134486","136.211350290177","131.434530352201","133.109485638132","131.075087862947","139.039315728147","117.052459672457","113.442539687399","115.409429987794","115.394860369327","119.522860685916","117.001057895832","114.671803655438","116.988063416761","117.768560455423","114.08123908569","110.936299433131","108.339657886845","106.156361479999","98.2177737508954","95.3740196756596","99.836482150441","100","96.667745422992","100.746549778111","99.9187595686948","99.8006628711376","108.858333037904","110.587775267527","110.971831670098","107.900643981822","110.65759828163","",
"Australia","AUS","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","92.3105713159262","100.255145795952","100.649423866117","98.5980033476845","101.714365087441","85.6041345965831","74.8776589025203","74.7243529077312","82.6640489262466","88.7063010595333","86.5211639999074","85.1381406699037","76.9182278481615","71.6044704990074","75.1840399926538","73.5002699134419","80.3789348624124","79.9646458985386","73.2543270500003","73.5073574028922","70.4419360032643","67.567471200383","70.8579225957964","79.368855575288","85.4228951938336","87.9663151951712","87.2408949513618","92.3352874551056","90.3747096049843","87.5940034699884","100","106.963842198606","109.027923194294","103.455675595226","98.3322510277925","89.8464999230746","90.9204444020621","93.6934673384468","89.9427474009781","85.9403093373151","",
"Austria","AUT","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","97.7486568112135","97.8266255032222","94.629947946915","95.8986535061687","95.9069706350519","96.7611143846754","96.4234027195115","100.638341993735","103.376488118898","103.063595141008","101.813945890921","103.627926959157","101.586200598669","103.404595031942","106.121100026545","106.796958701105","110.866561660868","108.313979556986","103.652503753375","103.270699909919","101.476197501325","98.3189564392272","98.4639551900182","99.2749533908025","102.777672284791","103.917430438862","102.871329801086","102.005893844616","102.578676810133","102.744306158356","103.594125074814","100","100.259337402384","98.3969705693466","100.503047613237","101.83185142502","98.3064513995013","99.7752712562822","100.850926363672","102.774090818737","101.626869713784","",
"Azerbaijan","AZE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","188.509482041701","173.658919256688","209.584707967025","230.730194385625","248.944916608564","230.676696479649","235.538374595871","202.701365406194","173.369213156013","152.792879449146","154.859012631833","135.982164840464","139.148390663997","121.716406424775","119.089431556176","123.356904804253","130.277249441226","134.32775420357","158.931589821631","145.014485301785","119.323843011944","123.655765072214","118.639672746679","103.348979725008","84.399782680196","81.3013452786554","89.0168233226818","91.6721111284188","86.6337363992867","88.8867142394883","96.7450295544887","100","100.892799528414","102.694876362677","100.639134852865","104.428291449719","117.809465323968","119.316870477335","129.698858682271","118.286128734163","114.379673778353","",
"Belgium","BEL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","118.171007882809","113.008889428324","105.015004345856","95.7876509125053","94.7089714439491","94.1175236954876","95.2836679642905","99.2323615830687","102.359449469552","100.122801933018","98.9329043453995","103.170405015951","101.645336594668","102.539822800822","102.460833637173","104.152284264564","107.970506477016","105.206117998381","98.9147953896559","98.7283908107096","97.0047727837013","93.0130207517735","93.6273632626066","95.1098001376542","99.7025317058905","101.304726789008","101.050146632442","100.609632002368","101.417115476902","104.147566191198","104.213000071691","100","100.752454630698","98.4854562427202","100.156454267958","99.9290950236866","94.8777348915959","97.6997973884253","99.0930904418949","101.485980524272","99.9363136960489","",
"Benin","BEN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.4108058807045","45.4615457123936","53.5898731099848","46.2205187562911","56.5062809319383","65.4247498277539","67.0570132166737","69.2544163346331","72.5005953396746","75.7025139323487","78.9042434067894","82.747049440327","83.046240168211","86.6375637786834","91.6530781403534","99.6597613627919","103.87599070632","100","101.451260213708","100.020709671714","100.919952880117","100.113111544715","96.8110867704134","96.9694109510923","98.0433678603512","101.311952671122","101.76147610041","",
"Bahrain","BHR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","174.714177404778","193.448746295013","216.693712295041","224.67412502853","229.849380761225","223.39262577762","182.004696734391","157.342219272711","145.812638531923","148.031006833472","135.95822089176","131.075727691437","124.34449018181","130.491753447195","125.977172789972","120.135299721539","119.447370413751","127.318031115224","130.212272769707","126.371473406818","129.216459953351","133.137281421749","136.231237786729","125.67301479821","114.927110219541","109.118930494621","111.986493948584","105.086235030063","97.839560117634","102.430712037701","100","93.1342830131133","95.7103225257366","97.7251453578609","99.3348363121826","107.028117482105","110.194450056882","110.139077377401","109.299692108546","111.894768540609","",
"Bahamas, The","BHS","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","101.249688207179","106.399401517663","109.311869553654","112.582482374241","115.812050918897","118.278992043389","114.436865876522","112.06219967463","110.849619430969","112.954607169355","109.405167887048","112.79254682326","115.663886899608","118.187860972729","113.568247948387","106.921756284202","107.250605597358","111.741009547281","118.083243059741","115.235477109294","117.131001237568","120.520336738685","119.117425266241","113.063322533245","105.975247117496","102.05080022541","101.069347198903","99.415492621399","98.4039578324241","101.084936603513","100","99.3401509407119","99.2642697801537","99.0080495576015","99.0012670155179","102.255066768309","101.32724411934","100.70875639779","100.489196765088","101.850799062383","",
"Bosnia and Herzegovina","BIH","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","126.294257765463","131.194334075565","141.725925359412","126.925990475102","117.717807355378","115.137114772207","115.859710942206","109.941836089654","106.508265754182","103.230303275665","105.017737348956","104.657215487659","102.643631456088","106.819794109179","108.343495035679","111.757725605716","112.48001118289","114.2040260151","115.252313264529","114.692621796867","111.900710961158","108.409356885534","105.925326030178","106.446037100873","101.249833605733","99.8406360641781","102.600272107183","100","95.3701022159938","96.984740277949","95.4057916970049","96.356722866959","102.604868580172","104.376768576103","102.633532641038","99.8966223007725","100.046402829888","",
"Bermuda","BMU","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","173.923150725899","220.868852675017","238.50658646936","222.448527714476","293.443815504006","503.717804169325","147.496320012443","140.046763129646","133.89266442918","128.859203005624","106.321425820617","110.461202207822","108.579189956502","107.495695788499","102.566927170254","99.8318217559574","104.466658266699","106.767758767418","111.652423180661","114.974936599359","113.120415664503","111.142957370615","109.519155068663","98.5678760745348","92.1179813659694","87.0471227488972","85.4844313474037","86.6545572147895","97.2142521800794","105.953207725056","100","102.288396569414","106.657231955514","112.275983917495","120.103293730204","137.674208000388","143.310581658226","140.126808509109","143.251340319118","149.7249859713","",
