"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0177889920034071","0.0294247030057978","0.0331009512478965","0.0554377144562054","0.18246430639925","0.393058059559012","0.570591379314161","0.653526571850017","0.612869653074051","1.27240044811918","1.41673784549942","1.36949780696674","","","","","","","","","","","","","","","","","","","","","0.0291341214837694","0.0267107103264152","0.0254114728307537","0.0259703803824069","0.0221363597571873","0.0146989186253283","0.0161232819352242","0.00544297081264588","0.00497396909024397","0.00661517051530809","0.109810624237169","0.00402919578259995","0.0031689189905156","0.00107623018120839","0.000811349400783797","0.00121305405956965","0.00183015751042543","","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.010089869563","8.61058009482491","3.93829894665067","9.90437783172271","15.7637541217815","14.4660032877309","6.41911817429627","16.5605913600255","14.8710245941009","22.0788533469619","27.8916254850019","16.2695546738308","26.5998257612031","31.7857505847751","36.2533309623102","38.2074648837207","41.2476982497809","35.6873059648083","15.8220245955737","37.7025794562834","54.55279258397","36.8055997047501","26.2624258330292","23.2692674640656","35.248387936034","44.4458946987414","43.3093007607669","46.98753249398","56.1400338218386","31.2098825085188","38.543582907139","39.5256508892664","35.2417488498274","30.1256519121182","23.0454505962835","10.2948888631045","10.1973995408117","15.443859036123","25.619924331463","","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","13.0935189102669","13.1947822095297","4.8823579715477","8.00918774728109","4.935915099494","7.72281403450516","7.5929525967309","4.12546858003885","4.16588583835275","1.92551906428442","1.3986387499338","1.0156898294183","1.05634531267882","1.13650982459681","0.173116258720756","0.462285791589923","0.944875717171544","0.651207334933082","0.662719810481317","0.68666894924368","0.681280909353614","0.924210366134344","1.13878282524957","0.987865046277805","1.01368709714932","0.746209343444451","1.49943983645699","2.66745952317552","3.0235126770352","3.07787905942368","3.00669918106815","1.35240900217072","0.855038483634703","1.36772860131917","1.94765398279779","","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","12.9540344772537","14.7514692858313","16.5821379420979","21.5502814625055","48.0266983899693","38.8127535859215","39.3881784286987","37.4862529299548","34.1028778706362","58.3777422352711","51.8469435757849","38.7322834285941","25.2193368162094","24.8054170372197","24.2941987126064","21.4047696381037","13.3950527777887","17.4258382522588","16.5235057371491","23.6811900690345","23.99086926622","19.9108924317898","20.6759705503779","20.0232208483616","18.2230349615328","18.8746238791978","22.024602337706","18.8438371095678","12.4457884192126","16.3157846622709","25.4534453597953","20.5235112636818","19.9661072015456","23.0701161323641","28.4407582912098","34.6749656083957","35.1179926940365","32.1785864663644","36.1493355871677","22.4579714666535","26.747036619936","33.980195592704","33.1567372285935","30.2440213347089","26.9173033470636","15.5177502857091","13.0643648966225","16.7937598349734","21.4346141601372","","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","41.631891661273","40.7208189222012","34.9759040184689","34.0718061719516","60.0116902855187","46.4993394164096","31.3302160719157","22.4408052901457","22.9491205297009","22.9820871600295","23.7626941259735","15.8707357028197","23.7199874418974","20.012229559228","29.1808533276621","36.2401220619198","24.3888587722966","23.0928774959937","20.2610777603268","17.5850873585059","17.4933377255226","19.9192234032744","17.0559920436931","11.2412630167285","14.1745603703663","21.1266668573452","16.236018914603","14.6830557220788","17.1037099807545","20.1074920485035","24.8556773315005","25.0640956638464","22.8748045136111","27.341497347522","18.0176240739353","21.70274999129","28.8146910761865","28.5282484915189","25.7737281505803","23.0413938040195","13.122426121454","10.8263657491513","13.0460276804517","16.5890774755715","","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.267910975230451","0.393216431275632","0.439781263206318","0.461438743477674","1.71563613426312","2.17471793739217","2.43426171769903","2.00795509164181","2.27346966373755","5.03888537540185","5.94185129053997","4.93936467148519","2.87381404983842","3.05337795283741","3.78422311962989","3.13313613658551","1.04707271085739","1.64083073231921","1.13098399873466","2.82585953789505","2.22537349765905","0.946614174778614","0.964965150350729","0.964092757908313","0.88570196624584","1.0655717183254","1.41767339885534","1.24911149258583","0.638569698637517","1.14710343194903","2.04858006442774","1.56027935874901","4.622750242171","4.09540166807275","3.97304401616016","4.67390092873685","4.64330115728369","3.77025957872186","4.05082856382955","2.12861289765799","2.35527618333305","2.728614649685","2.55794285449573","2.34336028767334","2.1374364544745","0.736965841903714","0.545772989189997","0.727117825460215","1.38439312715818","","",
"Armenia","ARM","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"American Samoa","ASM","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
