"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","54868515655.3192","58040490375.2732","57494315927.6245","59491720150.6606","60752583741.9185","59570258779.4869","58408209164.4543","59886349766.3447","58577758279.396","61634903913.1408","62852325584.0362","63057797471.8888","65242279554.26","67078940705.4579","71264674216.0568","74202012315.842","74909784088.9187","74780937645.0234","78191600868.0271","80827084723.709","82201268669.2262","83548476830.6503","85929675007.9817","88522941332.5927","92176585162.0489","93802412360.1781","93129843924.0621","95405921110.859","98422392262.7003","100423637562.853","104092099076.53","109440290331.925","109135026427.152","96798244156.9931","100069790283.185","104056065998.277","105586503588.23","106209998403.488","106233297342.861","106223406630.566","109447423410.681","113638474864.36","118458511888.077","120058123183.355","",
"Azerbaijan","AZE","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9346694158.72096","6997487505.91228","5090245031.95979","4408374297.17473","4730051063.98587","5568629397.11533","6565795014.89956","6738876468.65444","5846820571.52047","6331150963.61854","7045524314.72068","7859649414.94505","8637267431.72778","12617567895.4142","18903299248.1781","25182174810.6244","27617694320.9798","30557799998.7164","31738881275.6945","29996482166.4564","29742303740.4285","31109862514.0475","31173449969.244","30449135722.1812","29164703406.164","28140619727.4607","27939059492.121","28062463717.8392","",
"Burundi","BDI","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","144549428.208096","152683523.341496","149132387.284569","151910107.784237","157476135.96442","158463243.646353","174855138.002786","217582441.60598","242422005.287213","244388976.936356","269149137.338584","294920365.775269","322190504.505957","332652230.202951","337778615.104411","369219513.744053","374106295.813078","401830565.482873","404062214.574748","406968094.694066","437442224.031468","478035391.39232","519003012.754094","446238790.322323","363818485.743494","303460998.90509","315235285.731831","311922630.346719","306963060.612493","321052664.972805","301050596.563363","282294687.379266","264707299.893973","248215633.279519","232751422.455864","236361208.320957","249049657.287627","269812363.727489","282884365.917954","308458816.867165","312667504.801754","318469324.952042","335262486.58179","343429166.518547","364722146.843112","306001881.201371","302023856.745753","304138023.719059","311437427.547181","317977664.363919","",
"Belgium","BEL","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75890455394.334","77711575081.3971","82315617926.6128","83615642263.5774","85008331621.8764","90174438871.2535","90559573827.4275","90589686728.3633","90888230939.3572","95301644905.2586","97568383830.2036","98255552475.1624","103009642865.384","100930818781.472","95900671926.0192","100492824698.762","101826451414.454","99952860320.6098","99794153701.0857","102967769131.894","105931111215.825","105027982667.589","106184550695.374","106215955995.492","109075259945.288","",
"Benin","BEN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","464784430.806338","431101839.18571","491687839.696119","477725007.667551","612733903.135052","529606573.807272","464074534.075413","530251269.444109","497001251.495217","535914032.517977","529065881.554761","630112553.669254","846782403.330847","813695516.752266","882320725.971489","963200005.505561","757325178.944869","756099737.332848","801441195.24981","863987882.649949","934831552.213212","977244408.175451","1065708495.10666","1046593465.96395","1097184883.4374","1140207560.05886","1227961119.24884","1271043405.28042","1268658327.35241","1290856497.17643","1409725624.87951","1598029772.89139","1627733699.5352","1646892724.72287","1664604800.33737","1774388376.55936","1828483015.00971","1796115372.28862","1636210529.36297","1661277062.66708","1717225219.04557","1720235931.86918","1783268333.09482","1893823514.09679","1967521742.20864","2238781514.33294","2258742622.12786","2269337289.60847","2379195373.35481","2701776066.58479","",
"Burkina Faso","BFA","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","400668759.891494","416682876.95037","425092235.537251","480693133.214084","424530056.224427","513610445.451523","568943478.135118","472699978.542973","508905235.23797","494043334.547974","514541058.211714","507681715.654343","547770183.941862","552059642.6272","561710925.052849","592823681.444232","652739934.385133","707374316.180425","700648930.979504","696844515.539144","750007475.509318","750952319.118179","782213766.433568","823468731.753154","785893879.170208","787452795.620136","780601850.360889","939832068.005114","980660772.582515","1320925621.63573","1280093522.4696","1344844384.46461","1426152815.55511","1624007720.54936","1714458168.57629","1800906154.00697","1895647801.52078","2157075653.79244","2110754829.9999","2351532578.20372","2634117029.64242","2963890514.73764","2912724201.87049","3048158399.00783","3364877920.487","3582425722.40581","3763143775.45004","3985091838.40259","4096509793.48158","4190588690.50169","",
"Bangladesh","BGD","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","1819389415.43797","1856391319.05984","2351054226.66787","2443198298.98054","3324061184.33778","3586196354.81457","3442464663.27394","2983861137.09536","3532976006.7534","3745749331.8202","3773380687.57214","3032350748.37549","1616702393.05495","2743382101.1199","3308645397.79995","2892016771.0646","2847313483.56358","3335512523.57292","3488512162.46954","4225740128.65786","4064276672.49528","4267866761.52453","4412015890.66693","4584043365.90975","5025421667.86167","5336416645.38581","5705080744.60555","6197251923.61383","6390793765.63758","6632311203.48107","7116306135.20751","7451548087.09276","7972351929.13297","8617648970.9976","9318235323.60682","10262579474.1126","10953941405.059","11526337637.8406","12532229754.5394","13189082144.9915","14014160968.9074","15059852771.8482","15933777507.8497","16982490898.5211","18179632834.9494","19621708751.0312","21544224143.7764","23489199693.2732","25141320550.0716","26879383598.07","28769596138.0853","31364363465.3962","34323778956.7347","37632371200.5429","40703178048.1745","44637915543.1616","49589927086.5442","54660299597.1626","61252643993.9156","69013137914.7622","",
"Bulgaria","BGR","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","6277748398.55285","6620996398.57747","7239831619.94484","7792893713.83533","8270700834.56509","8692016765.90533","9143386098.29245","9634733421.81273","10589946144.8149","10692161408.6724","9355641230.41579","7615491961.39991","7128100469.30489","6686158261.16685","7087327725.27231","6699616436.40925","6691485409.502","7270178422.49815","7536528895.05598","7301045391.49116","8148184762.86285","8581954215.76456","9011250972.57638","9647693846.63218","10033034448.7449","10538703517.1394","11436439592.2814","12763370786.3989","13348170907.6483","12737662726.7139","11727036686.0701","12364033202.2531","12571356712.2425","12592415945.674","12918905715.3819","13356812017.6099","14025724076.9856","14512403914.839","14356459909.3471","14285712399.7631","",
"Bahrain","BHR","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10100984042.5532","10785930851.0638","11291436170.2128","11299920212.766","11564787234.0426","11732712765.9574","11527021276.5957","12552686170.2128","13151675531.9149","13322952127.6596","13702925531.9149","13778297872.3404","13925319148.9362","14240611702.1277","",
"Bahamas, The","BHS","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","778548015.584358","740810142.14181","720206479.138627","729975234.185734","651683102.82638","730419008.07537","725780216.689098","747930679.946164","895985733.512786","777125168.236878","640138627.187079","706496366.083446","461795693.135935","581385464.333782","881193270.524899","773687483.176312","946092597.577389","847545625.841184","409917900.403768","816502288.021534","771812382.234186","1161000000","1306424495.28937","1455599192.46299","1357989771.19785","1543728936.74293","1516123283.98385","1592794078.06191","1581855989.23284","1447161238.22342","1513935666.21803","",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3078547575.02993","3371133048.55114","3644181699.23049","3977190679.11292","3794781240.0654","3856875465.56511","3844455859.26554","3745537332.98934","3892836439.09436","3960100478.74911","4103294815.84832","4297297959.59666","4514020374.97406","4687846019.52514","4658226531.18952","",
"Belarus","BLR","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8355346666.58337","8390426010.72546","7686525780.79449","6786204515.1611","5608032907.71013","4854250449.27643","5017967794.95243","5919406126.06479","6561168215.03314","7057893351.63656","7468440376.88336","7826905636.56371","8372547390.89106","9261511488.79278","11005430171.8023","12497157121.6376","14264549812.7404","15591181697.6497","18014543501.2927","18069261600.2069","20252769385.6999","21719778649.8579","22162242450.7768","21736609624.1756","22063087991.7003","20442360178.1633","19487661567.3433","20181164668.1505","21220838884.8947","21521658721.1671","",
"Belize","BLZ","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","23650233.5636088","25119573.960293","28559988.5174928","31136394.5824023","34720943.3731127","36928965.0756326","36736378.7886897","42330465.8700527","45528407.651085","48128561.5974464","66391728.5341096","68945948.3363578","67458329.8438407","66352383.3214591","65376149.7361141","66042462.7381233","68392316.0338729","75241067.1389111","79575824.5950983","91405126.0556307","101449145.411686","108804611.216301","120274625.448608","130719230.598354","123293156.501087","123007916.287405","120770674.596522","122825317.923758","120244289.787961","131510135.992484","163866066.634686","164862574.492393","168465611.56665","162613113.533648","174566904.518756","173083219.764148","215830415.795519","220606236.948194","234970358.209802","274243722.642736","263165150","255757192.295518","240404213.500429","223448173.016453","218663745.249024","212009769.49883","215147199.340323","218125300.554357","215180085.109045","190089306.119104","",
"Bermuda","BMU","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","437715000","374949961.009625","339916711.746219","327310397.466117","315661307.110587","312426616.283638","314891324.592418","328060318.405028","354014270.084463","408215880.671774","",
"Bolivia","BOL","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","1044989491.36802","1029682028.11556","1133772778.23229","1247036223.44726","1330703190.51561","1467302320.42312","1598778982.95909","1790017764.82959","1897589579.63175","2033619546.49798","2118424839.64889","2272630572.72402","2549739742.3552","2803791416.78256","2871077380.05912","2965473367.99954","3081110200.0065","3281151438.6989","3313012704.7987","3162999243.5788","2984059106.55776","2884889790.51749","2618452334.95962","2588189756.2051","2477982633.34875","2296761675.08393","2078211522.16875","2153080305.6904","2239439243.60316","2418468946.05688","2589939710.13777","2699075926.40954","2747613347.19494","2896673970.83237","3032160485.32026","3244035355.59055","3343317232.53902","3467488219.83919","3713021431.58998","3640198205.88142","3728774172.89734","3736505108.5458","3836607522.95593","3870950171.64004","4114931200.02584","4381359187.84377","4685175280.69392","5013040484.96866","5543412756.82632","5703964060.8404","5923173414.44475","6211417357.22312","6534654055.66531","7026717887.64674","7394666655.1884","7588493487.32713","7892668050.86191","8070194703.39475","8253943388.76203","8264103944.2584","",
"Brazil","BRA","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","80475920016.7031","88848034245.6145","91327843546.3995","103684155281.323","116067688950.867","126388646742.408","141356698022.536","161628970049.286","189318486281.921","205123356858.96","214928313570.47","240102333397.367","247561935708.722","275362122498.531","294078978724.011","321319001361.093","292889102632.273","292956501872.168","275833595470.312","294041486928.686","318356353567.448","355803966854.679","359547368249.469","350251763073.87","360323824619.41","330770370820.345","316737975727.604","304038980559.345","327878970270.578","354270584811.278","371059167689.859","367479804968.167","383010536380.173","374262206002.729","364687702137.335","380904367496.589","378541167860.391","391513174170.077","390343601296.044","424848318383.356","430776302296.498","437096988119.6","466593746703.047","486090966575.716","466497949636.198","513959185993.633","535103925306.958","531234644668.031","542743556161.892","534558708503.865","503758355218.281","480758086061.846","478350786152.797","480922324067.758","483114805707.139","",
"Barbados","BRB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7957403659.8367","7934474770.0725","8361642813.84687","8806384868.97975","8717730675.91584","9037765138.95748","9522001888.57328","9965122862.43505","9360000112.37356","9335282620.31648","9671052397.47721","9959245177.61815","10042022786.047","10493347669.2119","10858697302.0976","10799353566.8983","10605998295.1538","10908964463.7569","10301029428.8714","9740568047.25817","9251921915.51149","9411074440.77741","9716780942.31194","9581993264.15009","9041941355.88337","8647435363.93637","8644512914.23736","8390145371.51236","8517211460.09052","8486225938.69909","8841952941.12396","",
"Bhutan","BTN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","21573400.9356296","36670916.0906459","39435787.0694034","50458392.9552347","51571126.8771353","48525784.6111172","61583945.0886176","116527548.68499","115593553.672279","126915061.430321","125308036.483975","122060688.944823","140409728.760884","142266197.133723","152276149.22084","176581032.874807","182908893.988363","181368314.91537","189877347.742747","218504159.714539","234360154.401783","264275883.329417","308573241.079331","338310861.636309","345207255.378022","358246189.454836","389919436.161896","548729379.452813","582841849.66489","602973146.59466","678249559.329744","705777215.863315","753543195.523941","782945811.708695","812010904.742062","878723940.387722","939676629.246367","963612203.227987","915594096.133577","933963987.52974","",
"Botswana","BWA","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","20666529.529398","20219681.7940856","20889953.3970541","19326005.084387","29003359.7349655","48139635.5747806","45985205.8773952","48642972.4582592","44605377.2924279","95471838.4166544","162789567.93529","201393493.850742","254512523.076226","308574926.704365","336332729.801699","405172195.549515","458321129.691033","561040595.232852","677972925.566948","750775524.365328","910969330.580162","1071138372.37268","1310827043.57981","1605680229.01255","1739491501.81","1800392769.50776","1928708573.10228","2096259195.03156","2439187028.19145","2697615388.02381","2802245222.37676","2931495976.71817","2878119603.87083","2854034908.66913","2926892064.2403","3135719931.47354","3115064151.95474","3319839659.1734","3269203919.91704","3487299684.59105","3724625398.40837","3739746704.7591","4216649443.51295","4294056648.94347","4244759464.23489","4484023857.10067","4833787552.58201","4930860636.03221","4935173303.89496","3601199423.80386","4073996953.0146","4133413143.33257","4145870848.45445","4803629739.26604","4792425432.84885","4363917534.54607","4413811785.72439","4303462608.03862","4541007130.5358","4549600628.96989","",
"Central African Republic","CAF","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","534453437.781942","525147520.899089","591663205.60791","634558684.352138","343969434.470732","292656573.237304","328603713.023169","338013292.251949","343889466.375303","349125895.735228","386973188.53528","",
"Canada","CAN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","455052400313.234","448224956487.791","404063317807.106","431006640258.261","450609248352.729","461128852536.086","473038550101.348","493368022880.707","487919748006.579","480976882316.059","502520497977.8","515233226028.691","511562541047.151","",
"Central Europe and the Baltics","CEB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226373548062.996","235714250921.705","237946701952.816","241955856800.996","243525529789.473","250722788319.63","258294451956.743","267059383285.876","281119856875.301","302061848684.909","319866835476.063","352842899570.857","378532451982.882","400309308344.274","375437772431.644","389217240353.167","408620200990.616","398218010718.479","395270727573.48","416382821174.946","435868358959.24","444714724500.214","464140157626.863","483978579609.887","493967166501.494","",
"Switzerland","CHE","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119397812675.587","118961712404.892","118875429248.545","118788368757.677","123044873126.984","122219712540.274","119799682918.302","119778336941.771","121030168351.075","121731403089.112","123155526744.612","127825628671.895","129974139345.013","129725333779.21","130902354787.441","135349729405.364","141908094895.108","146951185722.831","151603961965.791","140399483657.727","149451649473.404","157862396296.027","157839631220.718","159067874379.889","159756106076.753","160200014804.365","163266378085.193","170677528309.197","177239034347.438","181863776806.087","",
"Channel Islands","CHI","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","15538565381.1857","16294890743.8362","18311616703.8118","19702073811.9382","19978125131.4333","19989175684.6386","21517764707.8318","22095368623.4497","22993013560.7456","23866007263.9678","24319929987.9413","26731713225.0079","26151771692.3659","24290603519.8194","25666397393.885","20068017131.546","20858981728.2825","22083680538.3288","23687498327.5739","25845756372.8332","27962787354.2111","29719825313.861","25355706840.3038","25161684627.2946","26937636033.7769","28218012631.1269","29851841031.2812","31112783744.5197","33685924596.1356","36622272846.2173","37232967904.4087","39975009701.6808","43672189927.2463","47007347851.0128","49113733494.4134","53222537249.6273","56755877879.3091","61063077450.8072","63641626169.9563","64334810082.0369","67088599512.915","68237118508.8224","68391810333.1599","69686611256.9243","72340962593.3047","73395090921.717","76313531316.4262","76690988685.6111","77854028192.6676","75693364797.8137","78007185465.063","80242655198.0686","84088061087.6847","87716036322.0599","88139004076.7125","88946518123.2282","88728423492.6909","88262029410.0902","92554777615.5598","92904928656.0472","",
"China","CHN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","28928651757.6584","16807546668.1639","15025946725.8479","17204708999.3274","21591909798.061","26773968153.1323","32717789080.0332","28039145242.9589","25459543873.0028","33861193360.2302","45577166257.0048","51228734872.2839","54661060116.994","59197928108.178","60026699103.0188","69450890852.4521","67784069474.8226","76731566650.3327","88468438135.8231","95744701882.1892","108660286027.017","110706678557.959","116879090257.337","129015690942.908","147624222532.045","174787340998.5","192647483389.819","218838623225.279","250218269185.858","259598542064.006","267839937700.851","304762665359.214","368866583560.015","441697888385.214","521829233406.878","593972958496.415","665797346363.462","735559796618.355","801047079817.734","866758157077.786","948873450492.668","1029444862199.47","1131305845087.23","1274611031958.21","1416678187604.46","1588498461845.33","1802162553579.22","2073400889924.3","2277402594210.56","2511811201919.12","2830399179467.68","3132931354571.97","3394958467210.76","3666121075103.6","3928452767093.53","4161282882153.17","4412269954275.06","4671194729074.51","4941769331457.88","5182658042872.8","",
"Cote d'Ivoire","CIV","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5596925934.82722","5814404167.16566","5581626546.62756","5154651134.76866","5080932312.33721","6546042486.85767","6840746402.51492","7408238699.28802","7802793709.91323","9005706693.376","9965043549.13387","11002441271.4697","",
"Cameroon","CMR","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","954192005.623054","1004462331.91218","1017511040.05557","1140025098.74948","1214517399.11881","1198690073.7631","1343217030.7054","1297188387.16561","1351444862.36679","1424699951.81942","1476737619.18104","1590100964.96925","1881678204.20148","2078164085.46109","2985483148.53026","3249892738.18572","4246953600.91847","5011020479.82474","5930219889.84209","6222024109.39328","6759578246.84254","7171365719.88096","7208258450.17051","6697471569.78487","6543354738.70396","6098406598.52903","5695911962.51402","5103537036.21416","4596182757.0441","4459750278.21552","4312129123.80273","4261389349.05919","4180616980.08609","4534420251.91226","4880131740.95738","5026132654.16432","5072817442.63073","5475752715.27642","5487871694.72761","5591446330.10195","6467393030.4283","6844079727.72471","7061348300.78355","7230461605.27412","7199628697.02159","7112286863.45012","7351643912.16863","7727330050.08","8259861702.22956","8715762733.57394","9548507207.44831","9888728626.6757","10012751608.1457","10323040072.4099","10830163336.5802","",
