"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","110982466630.949","117328462974.808","123807604772.523","129629759908.963","134476657878.693","139119597989.622","145329644298.022","153749184371.304","152034672418.618","158849134096.622","162651141110.872","164967057474.436","168668619669.001","176340932596.093","173764188950.401","176739467101.559","180393965768.497","183684678827.268","187798409539.701","193619584086.57","200790886126.421","206809268926.514","213778674492.936","216021681278.239","220950618329.853","223867417793.294","229376303192.52","231711323158.726","238510411530.42","244808385229.847","250530459390.664","252667309600.978","254465951844.204","258421258887.471","263893151485.529","269834880095.853","276319977006.868","279585817446.988","284248115254.936","287903233053.245","289978933602.549","292855460896.539","294009812846.849","294444123363.507","295765652713.231","297522089045.288","302354749379.355","307295644374.823","310700294306.849","313870318500.922","",
"Azerbaijan","AZE","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9061215887.09353","6872331817.39055","5333850208.42309","5132300935.49817","5597679741.37997","6362102814.44992","7077675447.40933","8033803537.99352","9667990628.92231","9521217193.97496","10645962492.9784","11624707761.5798","13024367493.511","15937268669.2894","21991844957.3064","26070109098.2912","29046916306.5124","30857645519.7064","26580416095.6771","32113529031.7991","32820026696.1738","","","","","","","","",
"Burundi","BDI","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1295670314.13995","1395595963.68594","1384445252.97962","1243138394.22651","1275117362.37629","1365061806.82654","1367611078.02924","1467366616.77235","1663476669.99807","1847503379.69614","1899126638.30145","2062450205.54714","2033370477.0938","2091872318.65362","2244430121.86733","2342074781.71757","2597826087.32409","2684381482.00596","2618460967.3061","2584100714.44321","2638154510.23666","2750298145.56456","2873974130.98979","",
"Belgium","BEL","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","149932796749.222","157581049248.873","166894510235.954","179098940500.829","184438434371.321","187992440309.465","196757396399.425","201725011362.886","208887525015.064","217919864135.119","217936052503.765","220665333179.757","223898482164.2","224093310772.013","224820559547.025","231050039374.361","236323850679.593","241102192070.832","246139185234.513","252726411304.801","258104355141.795","266359380667.604","271132683997.591","270131668047.102","275820329312.779","280113279351.089","285305579409.75","289399918636.469","297231714096.56","303706208059.574","311800026598.826","315858397092.017","320468247523.339","323977088924.963","328842744112.022","332442787590.525","337244918336.336","344119945484.573","350760627189.279","353937946602.891","361535030835.72","364220858843.051","369234900296.904","373581874153.694","376419746265.126","380822928888.548","385476551439.655","390657268346.841","397217111847.042","403319481827.925","",
"Benin","BEN","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","1735502517.2715","1769638076.48138","1763916667.98922","1892639766.82755","1998668821.95253","2123944211.7632","2292107778.05441","2382861045.37731","2457812562.06478","2470854218.26089","2546336773.46172","2568377953.16681","2690206805.77811","2800539216.80575","2782225192.00763","2718202634.28611","2675257059.31976","2896744469.35947","2965838695.01322","3130057876.28242","3345070793.75791","3649974823.32496","3170915745.27511","3247879998.75376","3479628406.98213","3883517370.07709","3816872685.10118","3739539503.56527","3996145640.11124","3729314103.02461","3800403619.53956","4067741360.45299","4262351267.07497","4453401352.01625","4279591935.38751","4452599604.34962","4683483772.39746","4911102773.03019","5176795844.68655","5427350843.74597","5825547525.12988","6110942939.95343","6369149973.83021","6610941676.88927","6892318190.53553","7050960567.52283","7394055764.42037","7674626776.84625","8092920842.08741","8388061222.17455","8551169824.1067","8867261763.84401","9068065952.05779","9479075000.01992","9754830905.69996","10367148653.9091","10455760562.0438","10866163953.1681","11280733461.3506","11709338168.1583","",
"Burkina Faso","BFA","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","1659071453.98193","1668361578.7673","1887366525.76301","1963551802.00382","2006376949.49392","1922519905.61389","1962209237.77643","1912724687.0652","1910494795.79315","2026136542.92232","2226554908.61497","2352535745.46368","2562213966.25228","2549107840.98937","2633963003.6445","2770595720.32426","2901455371.24909","3111304924.35456","3103011731.63506","2947568277.52888","3074794735.53898","3467912217.63242","3382252030.7922","3559729681.76013","3501915534.94413","3455704498.5872","3644182629.38087","3648218235.66366","3813163309.08516","3360946688.00403","3781515117.39985","4331221763.66764","4421685980.20853","4933909642.36092","5398552005.39769","5526617828.62688","5688337587.36234","6001104716.94158","6265698590.26025","6703590072.76577","7105552185.57937","7507431667.23714","7691479525.45396","8115543082.18992","8267061713.62193","8699439014.75825","9223005104.37259","10055128423.2827","10686540051.0857","10914924240.583","11477835031.5167","12099304838.034","12757146688.6798","13168016610.7977","14144164066.5032","",
"Bangladesh","BGD","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","26430397055.0856","28795724898.1774","28293543001.5406","29683100976.3941","32827593633.5763","32985713790.4513","33593199459.6617","32603161954.5975","33070697447.0903","34702327113.7241","38148116756.4217","37572382484.2202","35979175939.3503","31565727351.92","30558231470.4468","29235544804.2397","31639932385.7673","28874117785.4067","32305816778.746","33655336972.4304","34698851708.0677","33992190403.2191","32975394982.1762","33837133482.9203","36211763878.9229","36695818354.8181","37840172036.0537","38861773824.9465","40305176796.9844","40663698852.1681","43617471772.4307","43529998251.979","45397991540.4729","47142828409.6672","48860480366.7941","50650882220.1345","50581651386.7681","51219387990.3512","52124699624.4766","54168353269.7481","56823074643.231","59222044724.724","60129048341.879","62733151223.0589","66631721835.1782","71253232482.0154","76328617576.5496","81771505413.6497","84983010059.8102","87144800377.3288","91289473949.6381","97231275211.2715","101161449649.266","106394934443.794","110944354527.976","117632884300.018","121631382624.161","130694892575.454","145547200180.13","151855980475.296","",
"Bulgaria","BGR","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","27345875871.5385","29036537998.2627","30506018560.6074","31710107914.4249","32832842959.2353","33667408181.9358","34669408276.3156","36640010824.2102","38406655338.7689","37278657010.6252","39410515136.9719","30785584212.8745","29831812417.9189","28769143776.5102","27479638341.4123","32711946494.6338","31947958438.1484","21717635415.5511","22845893542.0347","23745375600.0349","25564258057.106","27132506325.6626","28392005182.6401","30305871267.1714","32828180722.0087","34790008124.9241","37547348458.5698","40816993994.7576","42092435843.3319","40143527065.7918","40409866657.6418","41442443516.8638","42380674518.7062","41555679846.736","42489208869.7538","43924341540.2381","45348849540.9726","47116264834.8397","49277766580.175","51597037644.4802","",
"Bahrain","BHR","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7021569148.93617","7494601063.82979","7673377659.57447","8094893617.02128","8259654255.31915","8590585106.38298","8749494680.85106","9271170212.76596","11230212765.9574","12478989361.7021","13913776595.7447","15215664893.617","15934946808.5106","17248803191.4894","17453005319.1489","17850186170.2128","17761462765.9574","18478191489.3617","18264414893.617","","",
"Bahamas, The","BHS","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5796777104.80001","5675473126.23743","5520846437.76601","5243354172.17469","5206300117.17957","5425110587.76824","5684139247.73445","6051051435.6107","6807287161.77717","6788441540.27955","7237321789.20561","7419588920.21385","7500418171.25558","7706374554.69288","7519597836.26571","7382361626.54154","7923976066.13585","8143656070.54557","8226517419.62176","8061806130.99338","7432356805.58102","7491000000","7455851199.29445","7625201981.15217","7447630017.29204","7685218465.56704","7800305734.6143","7806216448.98849","8541761705.56962","8679044310.22609","8626348946.12713","",
